id;tipo;numero;ddd;email;principal
1;42754;Grocery;red;Lou56@hotmail.com;true
2;69551;Concrete Investment Account Saint Lucia;User-centric;Lavinia.Green88@gmail.com;true
3;62435;modular Refined Squares;maroon;Shaun80@hotmail.com;false
4;89609;support Gorgeous;withdrawal;Rebeca.Herman0@gmail.com;false
5;51074;supply-chains magenta;encompassing;Twila21@gmail.com;true
6;55810;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;Dock_Mohr41@gmail.com;false
7;3305;ubiquitous;Public-key Granite;Isai.Yost@yahoo.com;true
8;67213;navigate;Re-contextualized;Fredy_Koss@hotmail.com;true
9;39882;bypassing optical;installation;Maurice_Bauch32@gmail.com;true
10;22024;firewall;Future-proofed deposit Sausages;Grady_Howe@hotmail.com;true
